"","X","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G"
"303",303,303,"chase budinger","SF",26,"MIN",67,4,19.2,2.5,5.8,"0.433",0.8,2.1,"0.364",1.7,3.7,"0.474","0.5",1,1.2,"0.827",0.5,2.5,3,1,0.7,0.1,0.7,1.1,6.8
"304",304,304,"reggie bullock","SF",23,"TOT",36,2,9.4,0.7,1.9,"0.343",0.4,1.3,"0.326",0.3,0.7,"0.375","0.45",0.2,0.3,"0.667",0,1.4,1.4,0.2,0.3,0.1,0.2,0.5,1.9
"305",305,305,"caron butler","SF",34,"DET",78,21,20.8,2.1,5.1,"0.407",1.1,2.8,"0.379",1,2.3,"0.441","0.511",0.7,0.8,"0.902",0.3,2.2,2.5,1,0.6,0.1,0.6,1.5,5.9
"306",306,306,"rasual butler","SF",35,"WAS",75,1,20.1,2.9,6.9,"0.422",1.2,3.1,"0.387",1.7,3.8,"0.45","0.51",0.7,0.9,"0.791",0.4,2.3,2.6,0.8,0.4,0.3,0.6,1.3,7.7
"307",307,307,"bruno caboclo","SF",19,"TOR",8,0,2.9,0.5,1.5,"0.333",0.3,0.4,"0.667",0.3,1.1,"0.222","0.417",0,0,"NA",0.1,0.1,0.3,0,0,0.1,0.5,0.4,1.3
"308",308,308,"demarre carroll","SF",28,"ATL",70,69,31.3,4.5,9.3,"0.487",1.7,4.3,"0.395",2.8,5,"0.567","0.579",1.8,2.6,"0.702",1.4,3.9,5.3,1.7,1.3,0.2,1.1,2.2,12.6
"309",309,309,"omri casspi","SF",26,"SAC",67,19,21.1,3.1,6.4,"0.489",0.5,1.3,"0.402",2.6,5.1,"0.512","0.53",2.1,2.9,"0.733",0.8,3.1,3.9,1.5,0.5,0.1,1.3,1.6,8.9
"310",310,310,"wilson chandler","SF",27,"DEN",78,75,31.7,5.4,12.5,"0.429",1.8,5.2,"0.342",3.6,7.3,"0.49","0.5",1.4,1.8,"0.775",1.2,4.9,6.1,1.7,0.7,0.4,1.4,3,13.9
"311",311,311,"victor claver","SF",26,"POR",10,0,7.6,0.9,2,"0.45",0.6,1.1,"0.545",0.3,0.9,"0.333","0.6",0,0,"NA",0.3,1.7,2,0.1,0.1,0.1,0.4,1.2,2.4
"312",312,312,"chris copeland","SF",30,"IND",50,12,16.6,2.2,6.2,"0.361",1,3.3,"0.311",1.2,2.9,"0.42","0.445",0.7,0.9,"0.733",0.5,1.8,2.2,1,0.2,0.2,1.2,1.6,6.2
"313",313,313,"robert covington","SF",24,"PHI",70,49,27.9,4.3,10.8,"0.396",2.4,6.4,"0.374",1.9,4.4,"0.426","0.506",2.5,3.1,"0.82",0.9,3.6,4.5,1.5,1.4,0.4,1.8,2.7,13.5
"314",314,314,"jae crowder","SF",24,"TOT",82,17,20.1,2.8,6.6,"0.42",0.7,2.5,"0.293",2,4.1,"0.499","0.476",1.3,1.7,"0.773",0.9,2.7,3.6,1.1,0.9,0.3,0.6,1.7,7.7
"315",315,315,"luigi datome","SF",27,"TOT",21,1,10,2,4.2,"0.483",0.9,1.9,"0.45",1.2,2.3,"0.51","0.584",0,0,"1",0.1,1.2,1.4,0.4,0.1,0.3,0.4,0.7,5
"316",316,316,"austin daye","SF",26,"TOT",34,4,10.1,1.5,4.1,"0.355",0.7,2.1,"0.338",0.8,2.1,"0.371","0.44",0.1,0.2,"0.833",0.3,1.9,2.2,0.5,0.4,0.1,0.7,1.1,3.8
"317",317,317,"luol deng","SF",29,"MIA",72,72,33.6,5.1,10.9,"0.469",1.1,3.1,"0.355",4,7.9,"0.513","0.518",2.7,3.5,"0.761",1.4,3.8,5.2,1.9,0.9,0.3,1.5,1.5,14
"318",318,318,"mike dunleavy","SF",34,"CHI",63,63,29.2,3.3,7.6,"0.435",1.7,4.2,"0.407",1.6,3.5,"0.468","0.546",1.1,1.4,"0.805",0.4,3.5,3.9,1.8,0.6,0.3,1,2,9.4
"319",319,319,"kevin durant","SF",26,"OKC",27,27,33.8,8.8,17.3,"0.51",2.4,5.9,"0.403",6.4,11.4,"0.565","0.578",5.4,6.3,"0.854",0.6,6,6.6,4.1,0.9,0.9,2.7,1.5,25.4
"320",320,320,"cleanthony early","SF",23,"NYK",39,7,16.6,1.9,5.5,"0.355",0.6,2.2,"0.262",1.4,3.3,"0.415","0.407",0.9,1.2,"0.75",0.6,1.9,2.5,0.9,0.6,0.3,1,1.5,5.4
"321",321,321,"james ennis","SF",24,"MIA",62,3,17,1.6,4,"0.409",0.5,1.5,"0.326",1.1,2.5,"0.461","0.472",1.3,1.5,"0.84",0.8,2,2.8,0.8,0.4,0.3,0.6,1.4,5
"322",322,322,"jeremy evans","SF",27,"UTA",38,0,7,0.8,1.5,"0.552",0.1,0.1,"0.4",0.8,1.4,"0.566","0.569",0.6,0.8,"0.828",0.7,1.2,1.9,0.3,0.3,0.3,0.1,0.8,2.4
"323",323,323,"landry fields","SF",26,"TOR",26,9,8.3,0.8,1.6,"0.488",0,0.1,"0.5",0.7,1.5,"0.487","0.5",0.2,0.2,"0.833",0.4,0.6,1,0.6,0.4,0,0.3,0.3,1.8
"324",324,324,"danilo gallinari","SF",26,"DEN",59,27,24.2,3.9,9.6,"0.401",1.8,5.1,"0.355",2.1,4.5,"0.453","0.496",2.9,3.2,"0.895",0.5,3.2,3.7,1.4,0.8,0.3,1,1.6,12.4
"325",325,325,"francisco garcia","SF",33,"HOU",14,0,14.3,1.2,4.5,"0.27",0.7,3.2,"0.222",0.5,1.3,"0.389","0.349",0.1,0.3,"0.25",0.2,1,1.2,1.1,0.6,0.4,0.7,1.4,3.2
"326",326,326,"rudy gay","SF",28,"SAC",68,67,35.4,7.5,16.4,"0.455",1.2,3.2,"0.359",6.3,13.2,"0.479","0.491",5,5.8,"0.858",1.4,4.4,5.9,3.7,1,0.6,2.7,2.3,21.1
"327",327,327,"alonzo gee","SF",27,"TOT",54,2,12.3,1.6,3.4,"0.468",0.2,0.6,"0.371",1.4,2.8,"0.49","0.503",1,1.4,"0.701",0.7,1.1,1.7,0.5,0.6,0.1,0.6,1.1,4.5
"328",328,328,"paul george","SF",24,"IND",6,0,15.2,3,8.2,"0.367",1.5,3.7,"0.409",1.5,4.5,"0.333","0.459",1.3,1.8,"0.727",0.7,3,3.7,1,0.8,0.2,2,1.8,8.8
"329",329,329,"danny granger","SF",31,"MIA",30,6,20.4,2.2,5.4,"0.401",1,2.8,"0.357",1.2,2.6,"0.449","0.494",0.9,1.2,"0.757",0.7,2,2.7,0.6,0.4,0.2,0.8,2.2,6.3
"330",330,330,"jerami grant","SF",20,"PHI",65,11,21.2,1.9,5.4,"0.352",0.8,2.4,"0.314",1.2,3,"0.383","0.422",1.8,3,"0.591",0.8,2.3,3,1.2,0.6,1,1.3,2.2,6.3
"331",331,331,"jeff green","SF",28,"TOT",78,70,31.5,5.3,12.4,"0.43",1.2,3.7,"0.332",4.1,8.7,"0.473","0.48",3.1,3.7,"0.833",0.8,3.4,4.2,1.7,0.7,0.4,1.4,1.9,15
"332",332,332,"jordan hamilton","SF",24,"LAC",14,2,8.7,1,2.5,"0.4",0.7,1.5,"0.476",0.3,1,"0.286","0.543",0,0,"NA",0.1,1,1.1,0.5,0.1,0,0.3,1,2.7
"333",333,333,"maurice harkless","SF",21,"ORL",45,4,15,1.4,3.5,"0.399",0.2,1.2,"0.179",1.2,2.3,"0.52","0.43",0.5,0.9,"0.537",0.8,1.5,2.4,0.6,0.7,0.2,0.6,1.5,3.5
"334",334,334,"tobias harris","SF",22,"ORL",68,63,34.8,6.5,14,"0.466",1.3,3.5,"0.364",5.2,10.4,"0.5","0.512",2.8,3.6,"0.788",1.1,5.3,6.3,1.8,1,0.5,1.7,2,17.1
"335",335,335,"gordon hayward","SF",24,"UTA",76,76,34.4,6.4,14.3,"0.445",1.6,4.3,"0.364",4.8,10,"0.481","0.5",4.9,6.1,"0.812",0.7,4.2,4.9,4.1,1.4,0.4,2.7,1.7,19.3
"336",336,336,"xavier henry","SF",23,"LAL",9,0,9.6,0.3,1.4,"0.231",0,0,"NA",0.3,1.4,"0.231","0.231",1.6,2.7,"0.583",0.2,0.2,0.4,0.3,0.3,0,0.3,0.7,2.2
"337",337,337,"solomon hill","SF",23,"IND",82,78,29,3.1,7.7,"0.396",0.8,2.5,"0.327",2.2,5.2,"0.43","0.45",1.9,2.4,"0.824",0.9,3,3.8,2.2,0.8,0.2,1.4,2.2,8.9
"338",338,338,"robbie hummel","SF",25,"MIN",45,4,16.5,1.8,3.8,"0.459",0.4,1.1,"0.314",1.4,2.7,"0.521","0.506",0.5,0.6,"0.828",0.7,2.3,3,0.6,0.4,0.2,0.4,1.9,4.4
"339",339,339,"andre iguodala","SF",31,"GSW",77,0,26.9,3,6.4,"0.466",1,2.8,"0.349",2,3.7,"0.553","0.54",0.9,1.5,"0.596",0.6,2.8,3.3,3,1.2,0.3,1.1,1.3,7.8
"340",340,340,"joe ingles","SF",27,"UTA",79,32,21.2,1.9,4.5,"0.415",0.9,2.6,"0.356",0.9,1.9,"0.493","0.517",0.4,0.5,"0.75",0.3,1.9,2.2,2.3,0.9,0.1,1.2,1.6,5
"341",341,341,"lebron james","SF",30,"CLE",69,69,36.1,9,18.5,"0.488",1.7,4.9,"0.354",7.3,13.6,"0.536","0.535",5.4,7.7,"0.71",0.7,5.3,6,7.4,1.6,0.7,3.9,2,25.3
"342",342,342,"richard jefferson","SF",34,"DAL",74,18,16.8,1.9,4.4,"0.444",0.9,2.1,"0.426",1.1,2.3,"0.462","0.546",1.1,1.5,"0.684",0.3,2.1,2.5,0.8,0.4,0.1,0.7,1.6,5.8
"343",343,343,"chris johnson","SF",24,"TOT",29,2,18.1,2.1,5.3,"0.403",1,3.3,"0.295",1.2,2,"0.576","0.494",0.5,0.6,"0.875",0.3,1.6,1.9,0.5,0.9,0.2,0.5,1.5,5.7
"344",344,344,"wesley johnson","SF",27,"LAL",76,59,29.5,3.8,9.1,"0.414",1.2,3.4,"0.351",2.6,5.7,"0.451","0.48",1.2,1.5,"0.804",0.9,3.3,4.2,1.6,0.8,0.6,1.1,2.1,9.9
"345",345,345,"dahntay jones","SF",34,"LAC",33,0,3.7,0.2,0.6,"0.286",0,0.1,"0",0.2,0.5,"0.353","0.286",0.3,0.3,"0.818",0,0.3,0.3,0.1,0.1,0,0,0.7,0.6
"346",346,346,"james jones","SF",34,"CLE",57,2,11.7,1.3,3.5,"0.368",1.1,3.1,"0.36",0.2,0.5,"0.423","0.525",0.7,0.8,"0.848",0.2,0.9,1.1,0.4,0.2,0.1,0.2,1.2,4.4
"347",347,347,"perry jones","SF",23,"OKC",43,13,14.7,1.7,4.3,"0.397",0.3,1.4,"0.233",1.4,2.9,"0.476","0.435",0.6,0.9,"0.649",0.1,1.6,1.8,0.4,0.4,0.2,0.6,1.2,4.3
"348",348,348,"michael kidd-gilchrist","SF",21,"CHO",55,52,28.9,4.1,8.8,"0.465",0,0,"NA",4.1,8.8,"0.465","0.465",2.7,3.9,"0.701",2,5.6,7.6,1.4,0.5,0.7,1.1,2.1,10.9
"349",349,349,"andrei kirilenko","SF",33,"BRK",7,0,5.1,0,0.7,"0",0,0,"NA",0,0.7,"0","0",0.4,0.6,"0.75",0.3,0.9,1.1,0.1,0.1,0,0.1,0.1,0.4
"350",350,350,"kawhi leonard","SF",23,"SAS",64,64,31.8,6.2,12.8,"0.479",1,3,"0.349",5.1,9.8,"0.519","0.52",3.2,3.9,"0.802",1.3,5.9,7.2,2.5,2.3,0.8,1.5,2,16.5
"351",351,351,"shawn marion","SF",36,"CLE",57,24,19.3,2.1,4.7,"0.446",0.2,0.8,"0.261",1.9,3.9,"0.484","0.468",0.5,0.6,"0.765",1.1,2.4,3.5,0.9,0.5,0.5,0.6,1,4.8
"352",352,352,"cartier martin","SF",30,"DET",23,0,8.6,0.7,2.3,"0.283",0.3,1.4,"0.182",0.4,0.9,"0.45","0.34",0,0,"NA",0,0.9,0.9,0.5,0.1,0,0.2,0.9,1.6
"353",353,353,"doug mcdermott","SF",23,"CHI",36,0,8.9,1.2,3,"0.402",0.4,1.1,"0.317",0.8,1.8,"0.455","0.463",0.3,0.4,"0.667",0.2,1,1.2,0.2,0.1,0,0.5,0.8,3
"354",354,354,"khris middleton","SF",23,"MIL",79,58,30.1,5.1,11,"0.467",1.4,3.4,"0.407",3.8,7.6,"0.494","0.53",1.7,2,"0.859",0.6,3.8,4.4,2.3,1.5,0.1,1.4,2.3,13.4
"355",355,355,"darius miller","SF",24,"NOP",5,1,8.6,0.2,1.4,"0.143",0,0.2,"0",0.2,1.2,"0.167","0.143",0,0,"NA",0,0.2,0.2,0.4,0.2,0,0.2,1.6,0.4
"356",356,356,"mike miller","SF",34,"CLE",52,15,13.5,0.7,2.2,"0.325",0.6,1.9,"0.327",0.1,0.3,"0.313","0.465",0.1,0.1,"0.75",0.1,1.7,1.8,0.9,0.3,0.1,0.4,1.4,2.1
"357",357,357,"kostas papanikolaou","SF",24,"HOU",43,1,18.5,1.6,4.6,"0.35",0.7,2.5,"0.292",0.9,2.1,"0.418","0.429",0.3,0.4,"0.722",0.9,1.8,2.7,2,0.7,0.3,1.3,1.7,4.2
"358",358,358,"chandler parsons","SF",26,"DAL",66,66,33.1,5.8,12.6,"0.462",2,5.3,"0.38",3.8,7.3,"0.521","0.542",2.1,2.9,"0.72",1,3.9,4.9,2.4,1,0.3,1.5,2.1,15.7
"359",359,359,"paul pierce","SF",37,"WAS",73,73,26.2,4,9,"0.447",1.6,4.2,"0.389",2.4,4.8,"0.496","0.537",2.2,2.9,"0.781",0.6,3.4,4,2,0.6,0.3,1.3,2.2,11.9
"360",360,360,"otto porter","SF",21,"WAS",74,13,19.4,2.4,5.3,"0.45",0.5,1.4,"0.337",1.9,3.9,"0.491","0.495",0.8,1.1,"0.734",0.9,2,3,0.9,0.6,0.4,0.7,1.3,6
"361",361,361,"tayshaun prince","SF",34,"TOT",58,16,24.1,3.1,6.9,"0.44",0.5,1.2,"0.463",2.5,5.8,"0.436","0.479",0.8,1.1,"0.754",0.9,2.7,3.6,1.6,0.5,0.3,0.6,0.9,7.5
"362",362,362,"terrence ross","SF",23,"TOR",82,61,25.5,3.8,9.2,"0.41",1.8,4.8,"0.372",2,4.4,"0.452","0.507",0.5,0.7,"0.786",0.4,2.4,2.8,1,0.6,0.3,0.8,1.7,9.8
"363",363,363,"damjan rudez","SF",28,"IND",68,2,15.4,1.8,3.9,"0.452",1,2.5,"0.406",0.7,1.4,"0.538","0.584",0.2,0.3,"0.696",0.1,0.6,0.7,0.8,0.2,0.1,0.7,1.2,4.8
"364",364,364,"john salmons","SF",35,"NOP",21,0,12.9,0.8,2.3,"0.333",0.4,1.2,"0.308",0.4,1,"0.364","0.417",0.1,0.2,"0.5",0.2,0.8,1,0.6,0.4,0.2,0.2,1.2,2
"365",365,365,"jakarr sampson","SF",21,"PHI",74,32,15.3,2,4.7,"0.422",0.4,1.7,"0.244",1.6,3,"0.525","0.467",0.9,1.3,"0.67",0.5,1.7,2.2,1,0.5,0.4,1,1.8,5.2
"366",366,366,"thabo sefolosha","SF",30,"ATL",52,7,18.8,2,4.8,"0.418",0.5,1.5,"0.321",1.5,3.3,"0.462","0.468",0.9,1.1,"0.776",1,3.3,4.3,1.4,1,0.4,0.7,1.3,5.3
"367",367,367,"kyle singler","SF",26,"TOT",80,58,21.8,2.2,5.6,"0.386",1.2,3,"0.398",1,2.6,"0.371","0.493",0.5,0.7,"0.769",0.4,2,2.4,1.1,0.6,0.3,0.7,1.9,6
"368",368,368,"tony snell","SF",23,"CHI",72,22,19.6,2.2,5.2,"0.429",1,2.7,"0.371",1.2,2.4,"0.494","0.527",0.6,0.8,"0.8",0.4,2,2.4,0.9,0.4,0.2,0.7,1.2,6
"369",369,369,"jeffery taylor","SF",25,"CHO",29,13,14.8,1.6,3.9,"0.395",0.4,1.2,"0.306",1.2,2.7,"0.436","0.443",0.9,1.4,"0.634",0.5,1.3,1.8,0.8,0.4,0,0.7,1.2,4.4
"370",370,370,"pj tucker","SF",29,"PHO",78,63,30.6,3.3,7.6,"0.438",1.1,3.2,"0.345",2.2,4.4,"0.506","0.511",1.3,1.8,"0.727",1.5,5,6.4,1.6,1.4,0.3,1.2,2.3,9.1
"371",371,371,"hedo turkoglu","SF",35,"LAC",62,2,11.4,1.3,3,"0.441",1,2.2,"0.432",0.4,0.8,"0.469","0.601",0.1,0.2,"0.545",0.1,1.5,1.6,0.6,0.3,0.1,0.5,1.1,3.7
"372",372,372,"henry walker","SF",27,"MIA",24,13,26.2,2.4,7,"0.345",1.9,5.5,"0.341",0.5,1.5,"0.361","0.479",0.6,0.8,"0.778",0.3,3.1,3.4,1.2,1,0.4,1,3.2,7.3
"373",373,373,"gerald wallace","SF",32,"BOS",32,0,8.9,0.4,1.1,"0.412",0,0.1,"0.333",0.4,1,"0.419","0.426",0.2,0.5,"0.4",0.5,1.3,1.8,0.3,0.5,0.1,0.6,0.6,1.1
"374",374,374,"tj warren","SF",21,"PHO",40,1,15.4,2.8,5.4,"0.528",0.1,0.5,"0.238",2.7,4.8,"0.56","0.54",0.4,0.5,"0.737",1,1.1,2.1,0.6,0.5,0.2,0.7,1.3,6.1
"375",375,375,"travis wear","SF",24,"NYK",51,1,13.2,1.6,4.1,"0.402",0.2,0.6,"0.367",1.4,3.5,"0.408","0.428",0.4,0.5,"0.769",0.6,1.5,2.1,0.8,0.3,0.2,0.7,1.1,3.9
"376",376,376,"martell webster","SF",28,"WAS",32,0,11,0.8,2.8,"0.264",0.3,1.3,"0.233",0.4,1.5,"0.292","0.319",1.5,2,"0.75",0.3,1.1,1.4,0.5,0.2,0,0.7,0.8,3.3
"377",377,377,"andrew wiggins","SF",19,"MIN",82,82,36.2,6.1,13.9,"0.437",0.5,1.5,"0.31",5.6,12.3,"0.453","0.454",4.3,5.7,"0.76",1.6,2.9,4.6,2.1,1,0.6,2.2,2.3,16.9
"378",378,378,"reggie williams","SF",28,"SAS",20,0,5.3,0.8,2,"0.385",0.2,1,"0.158",0.6,1,"0.6","0.423",0.2,0.2,"1",0.3,0.6,0.9,0.5,0.1,0,0.1,0.6,1.9
"379",379,379,"shawne williams","SF",28,"TOT",63,22,17.3,1.9,4.8,"0.403",1,2.8,"0.36",0.9,1.9,"0.467","0.51",0.6,0.6,"0.875",0.6,2.1,2.6,0.7,0.4,0.3,0.5,2.1,5.4
"380",380,380,"dorell wright","SF",29,"POR",48,2,12.3,1.5,4,"0.379",0.9,2.3,"0.38",0.6,1.7,"0.378","0.487",0.7,0.9,"0.81",0.3,2,2.3,0.9,0.4,0.2,0.4,1.1,4.6
"381",381,381,"steve novak","SF",31,"TOT",35,0,5.6,0.6,1.6,"0.393",0.5,1.4,"0.396",0.1,0.2,"0.375","0.563",0,0.1,"0",0.1,0.6,0.6,0.3,0,0.1,0.1,0.7,1.8
"382",382,382,"quincy pondexter","SF",26,"TOT",75,30,23.9,2.5,6,"0.421",1.2,3.3,"0.373",1.3,2.7,"0.478","0.522",0.9,1.3,"0.74",0.7,1.9,2.6,1.3,0.3,0.3,0.7,2,7.2
"383",383,383,"jordan adams","SG",20,"MEM",30,0,8.3,1.2,2.9,"0.407",0.3,0.8,"0.4",0.8,2,"0.41","0.465",0.5,0.8,"0.609",0.3,0.6,0.9,0.5,0.5,0.2,0.5,0.8,3.1
"384",384,384,"arron afflalo","SG",29,"TOT",78,72,32.1,4.8,11.3,"0.424",1.5,4.3,"0.354",3.3,7.1,"0.466","0.491",2.1,2.5,"0.843",0.3,2.8,3.2,1.7,0.5,0.1,1.5,2.1,13.3
"385",385,385,"tony allen","SG",33,"MEM",63,41,26.2,3.6,7.2,"0.495",0.2,0.5,"0.345",3.4,6.8,"0.505","0.505",1.3,2,"0.627",1.6,2.8,4.4,1.4,2,0.5,1.4,2.6,8.6
"386",386,386,"alan anderson","SG",32,"BRK",74,19,23.6,2.6,5.9,"0.443",1,2.8,"0.348",1.6,3.1,"0.53","0.526",1.1,1.4,"0.812",0.4,2.3,2.8,1.1,0.8,0.1,0.8,2,7.4
"387",387,387,"giannis antetokounmpo","SG",20,"MIL",81,71,31.4,4.7,9.6,"0.491",0.1,0.5,"0.159",4.6,9.1,"0.511","0.496",3.2,4.3,"0.741",1.2,5.5,6.7,2.6,0.9,1,2.1,3.1,12.7
"388",388,388,"leandro barbosa","SG",32,"GSW",66,1,14.9,2.8,5.8,"0.474",0.7,1.7,"0.384",2.1,4.2,"0.511","0.53",0.9,1.1,"0.784",0.3,1,1.4,1.5,0.6,0.1,0.7,1.3,7.1
"389",389,389,"will barton","SG",24,"TOT",58,0,16.9,2.6,6.1,"0.425",0.4,1.5,"0.271",2.2,4.6,"0.474","0.458",1.3,1.6,"0.787",0.4,2.3,2.8,1.4,0.8,0.3,1.1,1.2,6.8
"390",390,390,"kent bazemore","SG",25,"ATL",75,10,17.7,1.9,4.4,"0.426",0.6,1.8,"0.364",1.2,2.7,"0.467","0.498",0.8,1.3,"0.6",0.3,2.7,3,1,0.7,0.4,1,1.7,5.2
"391",391,391,"bradley beal","SG",21,"WAS",63,59,33.4,5.8,13.5,"0.427",1.7,4.1,"0.409",4.1,9.4,"0.434","0.489",2.1,2.6,"0.783",0.9,2.9,3.8,3.1,1.2,0.3,2,2.2,15.3
"392",392,392,"marco belinelli","SG",28,"SAS",62,9,22.4,3.2,7.6,"0.423",1.4,3.7,"0.374",1.8,3.9,"0.471","0.515",1.4,1.6,"0.848",0.4,2.1,2.5,1.5,0.5,0,1,1.4,9.2
"393",393,393,"vander blue","SG",22,"LAL",2,1,37,4.5,15,"0.3",1,5,"0.2",3.5,10,"0.35","0.333",1,2.5,"0.4",1,3.5,4.5,4,1.5,0,3,2,11
"394",394,394,"avery bradley","SG",24,"BOS",77,77,31.5,5.6,13.1,"0.429",1.6,4.6,"0.352",4,8.6,"0.47","0.49",1,1.3,"0.79",0.6,2.5,3.1,1.8,1.1,0.2,1.4,2.3,13.9
"395",395,395,"jabari brown","SG",22,"LAL",19,5,29.9,3.7,8.9,"0.412",1.2,3.3,"0.371",2.5,5.7,"0.435","0.479",3.4,4.5,"0.753",0.2,1.7,1.9,2.1,0.6,0.1,1.7,1.7,11.9
"396",396,396,"markel brown","SG",23,"BRK",47,29,16.6,1.6,4.5,"0.362",0.4,1.4,"0.266",1.3,3.1,"0.404","0.402",1,1.2,"0.825",0.3,1.9,2.3,0.8,0.7,0.3,0.6,1.2,4.6
"397",397,397,"shannon brown","SG",29,"MIA",5,2,17.8,1.4,3.8,"0.368",0.6,1.4,"0.429",0.8,2.4,"0.333","0.447",0.6,0.8,"0.75",0,0.2,0.2,0.6,0.8,0,0.8,1.6,4
"398",398,398,"kobe bryant","SG",36,"LAL",35,35,34.5,7.6,20.4,"0.373",1.5,5.3,"0.293",6.1,15.1,"0.401","0.411",5.6,6.9,"0.813",0.7,4.9,5.7,5.6,1.3,0.2,3.7,1.9,22.3
"399",399,399,"alec burks","SG",23,"UTA",27,27,33.3,4.5,11.1,"0.403",1,2.5,"0.382",3.5,8.6,"0.409","0.447",3.9,4.8,"0.822",0.7,3.5,4.2,3,0.6,0.2,1.9,2.4,13.9
"400",400,400,"jimmy butler","SG",25,"CHI",65,65,38.7,6.5,14,"0.462",1.1,3,"0.378",5.4,11.1,"0.484","0.502",5.9,7.1,"0.834",1.8,4.1,5.8,3.3,1.8,0.6,1.4,1.7,20
"401",401,401,"will bynum","SG",32,"WAS",7,0,9.6,1.4,4.4,"0.323",0,1.3,"0",1.4,3.1,"0.455","0.323",0.3,0.6,"0.5",0.3,0.6,0.9,2.6,0.1,0.1,1.1,1.3,3.1
"402",402,402,"nick calathes","SG",25,"MEM",58,0,14.4,1.8,4.3,"0.421",0.2,0.7,"0.256",1.6,3.5,"0.456","0.443",0.4,0.8,"0.533",0.3,1.5,1.8,2.5,1.1,0.1,1.1,1.7,4.2
"403",403,403,"kentavious caldwell-pope","SG",21,"DET",82,82,31.5,4.8,11.9,"0.401",1.9,5.4,"0.345",2.9,6.4,"0.449","0.48",1.3,1.9,"0.696",0.6,2.5,3.1,1.3,1.1,0.2,1.1,2,12.7
"404",404,404,"vince carter","SG",38,"MEM",66,1,16.5,2,6.2,"0.333",1,3.5,"0.297",1,2.6,"0.379","0.417",0.7,0.9,"0.789",0.4,1.6,2,1.2,0.7,0.2,0.7,1.5,5.8
"405",405,405,"patrick christopher","SG",26,"UTA",4,1,7.3,0.8,3,"0.25",0,1,"0",0.8,2,"0.375","0.25",0,0,"NA",0.5,1,1.5,0,0.3,0,0.3,1.5,1.5
"406",406,406,"ian clark","SG",23,"TOT",30,0,6.4,0.6,1.8,"0.345",0.3,1,"0.333",0.3,0.8,"0.36","0.436",0.3,0.3,"1",0.1,0.4,0.5,0.4,0.3,0.1,0.3,0.7,1.9
"407",407,407,"allen crabbe","SG",22,"POR",51,9,13.4,1.2,3,"0.412",0.6,1.7,"0.353",0.6,1.3,"0.485","0.51",0.2,0.3,"0.75",0.1,1.3,1.4,0.8,0.4,0.3,0.3,1.5,3.3
"408",408,408,"jamal crawford","SG",34,"LAC",64,4,26.6,5.2,13.1,"0.396",1.9,5.7,"0.327",3.3,7.4,"0.448","0.467",3.5,3.9,"0.901",0.3,1.7,1.9,2.5,0.9,0.2,1.4,1.7,15.8
"409",409,409,"jared cunningham","SG",23,"LAC",19,0,4.7,0.6,1.7,"0.364",0.2,0.7,"0.308",0.4,1.1,"0.4","0.424",0.4,0.7,"0.538",0.1,0.4,0.5,0.5,0.2,0,0.4,0.6,1.8
"410",410,410,"troy daniels","SG",23,"TOT",47,0,8.4,1.3,3.5,"0.37",0.9,2.5,"0.364",0.4,1,"0.383","0.5",0.2,0.3,"0.846",0.2,0.5,0.7,0.5,0.1,0,0.4,0.9,3.7
"411",411,411,"andre dawkins","SG",23,"MIA",4,0,5.5,0.3,1.5,"0.167",0.3,1.5,"0.167",0,0,"NA","0.25",0,0,"NA",0,0.5,0.5,0.3,0,0,0.3,0.8,0.8
"412",412,412,"matthew dellavedova","SG",24,"CLE",67,13,20.6,1.7,4.6,"0.362",1,2.5,"0.407",0.6,2.1,"0.307","0.472",0.4,0.6,"0.763",0.6,1.3,1.9,3,0.4,0,0.9,2.3,4.8
"413",413,413,"demar derozan","SG",25,"TOR",60,60,35,6.8,16.5,"0.413",0.4,1.5,"0.284",6.4,15,"0.426","0.426",6,7.2,"0.832",0.7,3.9,4.6,3.5,1.2,0.2,2.3,2,20.1
"414",414,414,"toney douglas","SG",28,"NOP",12,0,14.8,1.6,4.3,"0.373",0.4,1.5,"0.278",1.2,2.8,"0.424","0.422",0.7,1.1,"0.615",0.2,1.7,1.8,2,0.9,0.3,0.8,1.7,4.3
"415",415,415,"chris douglas-roberts","SG",28,"LAC",12,0,8.6,0.4,1.8,"0.238",0.1,0.6,"0.143",0.3,1.2,"0.286","0.262",0.7,0.7,"1",0.1,0.9,1,0.3,0.1,0,0,1.2,1.6
"416",416,416,"zoran dragic","SG",25,"TOT",16,1,4.7,0.7,1.9,"0.367",0.2,0.9,"0.214",0.5,1,"0.5","0.417",0.2,0.3,"0.6",0.3,0.2,0.5,0.3,0.1,0,0.3,0.4,1.8
"417",417,417,"jared dudley","SG",29,"MIL",72,22,23.8,2.8,5.9,"0.468",1,2.7,"0.385",1.7,3.2,"0.537","0.556",0.7,0.9,"0.716",0.6,2.4,3.1,1.8,1,0.2,0.9,1.6,7.2
