"","X","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G"
"116",116,116,"derrick favors","PF",23,"UTA",74,74,30.8,6.5,12.4,"0.525",0,0.1,"0.167",6.5,12.3,"0.527","0.526",3,4.5,"0.669",2.6,5.6,8.2,1.5,0.8,1.7,1.6,2.8,16
"117",117,117,"channing frye","PF",31,"ORL",75,51,24.9,2.5,6.5,"0.392",1.8,4.6,"0.393",0.7,1.9,"0.39","0.532",0.4,0.5,"0.886",0.4,3.5,3.9,1.3,0.6,0.5,1,2.5,7.3
"118",118,118,"kevin garnett","PF",38,"TOT",47,47,20.3,3,6.5,"0.467",0,0.1,"0.143",3,6.4,"0.475","0.469",0.8,1,"0.8",1,5.6,6.6,1.6,1,0.4,1,2.3,6.9
"119",119,119,"pau gasol","PF",34,"CHI",78,78,34.4,7.3,14.8,"0.494",0.2,0.3,"0.462",7.2,14.4,"0.495","0.5",3.8,4.7,"0.803",2.8,9,11.8,2.7,0.3,1.9,2,1.9,18.5
"120",120,120,"taj gibson","PF",29,"CHI",62,17,27.3,4.1,8.2,"0.502",0,0,"NA",4.1,8.2,"0.502","0.502",2.1,3,"0.717",2.6,3.8,6.4,1.1,0.6,1.2,1.2,2.6,10.3
"121",121,121,"drew gooden","PF",33,"WAS",51,7,16.9,2.2,5.4,"0.399",0.5,1.2,"0.39",1.7,4.3,"0.401","0.44",0.7,0.9,"0.773",1.4,3,4.4,1,0.4,0.2,0.5,1.8,5.4
"122",122,122,"aaron gordon","PF",19,"ORL",47,8,17,2,4.4,"0.447",0.3,1,"0.271",1.7,3.4,"0.5","0.478",0.9,1.3,"0.721",1,2.6,3.6,0.7,0.4,0.5,0.8,1.8,5.2
"123",123,123,"drew gordon","PF",24,"PHI",9,0,7.9,0.9,2.1,"0.421",0,0.3,"0",0.9,1.8,"0.5","0.421",0.1,0.2,"0.5",0.8,1.2,2,0.2,0.1,0,0.9,0.8,1.9
"124",124,124,"draymond green","PF",24,"GSW",79,79,31.5,4.3,9.7,"0.443",1.4,4.2,"0.337",2.9,5.5,"0.523","0.516",1.7,2.5,"0.66",1.4,6.7,8.2,3.7,1.6,1.3,1.7,3.2,11.7
"125",125,125,"jamychal green","PF",24,"TOT",24,1,6.8,1.1,2,"0.574",0,0.3,"0",1.1,1.7,"0.659","0.574",0.3,0.4,"0.8",0.8,1.1,1.9,0.2,0.2,0.2,0.6,1,2.6
"126",126,126,"blake griffin","PF",25,"LAC",67,67,35.2,8.6,17.1,"0.502",0.1,0.4,"0.4",8.4,16.7,"0.504","0.506",4.6,6.4,"0.728",1.9,5.7,7.6,5.3,0.9,0.5,2.3,2.9,21.9
